blogger_id;username;followers;follows;posts_count;is_verified;business_category_name;comments_count;liked_by;media_preview_like
333221069;babeshking;42770;441;808;False;Creators & Celebrities;5.0;144.0;144.0
3307958996;xeniagara;0;263;0;False;None;364.5;21487.0;21487.0
6059784938;arrakelyaan;765760;65;496;False;Creators & Celebrities;161.5;13450.0;13450.0
144971100;krasnovanatasha;2254573;344;2170;True;Personal Goods & General Merchandise Stores;87.5;25512.0;25512.0
480713532;s_ship;673126;244;716;False;Creators & Celebrities;88.0;18218.0;18218.0
3530095634;rina.make.up;312111;399;384;False;Local Events;168.0;14358.0;14358.0
2207300313;dontworry198;205884;104;584;False;Creators & Celebrities;35.0;3773.5;3773.5
198342533;momocka;180596;69;2181;False;Creators & Celebrities;7.0;443.0;443.0
2893621099;danvirlan;2213028;28;295;False;General Interest;698.0;71156.0;71156.0
2199710460;nastiagoncul;1036338;269;606;False;Creators & Celebrities;66.0;22467.0;22467.0
40184260;chiblls;284380;771;280;False;Content & Apps;22.5;5709.5;5709.5
35001077;istiglitz;24236;355;1039;False;Creators & Celebrities;2.0;107.0;107.0
306004494;arnisaveolla;1600750;100;139;False;Creators & Celebrities;307.0;66186.0;66186.0
